mdse_item_i, co_loc_i, p_sls_d, customer_paid_price, own_retl_a, sls_retl_a, base_price
5505987,36,5/18/18,1.06,1.12,1.12,1.12
5505987,36,5/19/18,1.12,1.12,1.12,1.12
5505987,36,5/19/18,1.12,1.12,1.12,1.12
5505987,36,5/19/18,0.89,1.12,1.12,1.12
5505987,36,5/22/18,1.06,1.12,1.12,1.12
5505987,36,5/22/18,1.06,1.12,1.12,1.12
5505987,36,5/22/18,1.06,1.12,1.12,1.12
5505987,36,5/24/18,1.07,1.12,1.12,1.12
5505987,36,5/24/18,1.06,1.12,1.12,1.12
5505987,36,5/24/18,1.12,1.12,1.12,1.12
5505987,36,5/24/18,1.12,1.12,1.12,1.12
5505987,36,5/24/18,1.06,1.12,1.12,1.12
5505987,36,5/25/18,1.04,1.12,1.12,1.12
5505987,36,5/26/18,1.12,1.12,1.12,1.12
5505987,36,5/26/18,1.12,1.12,1.12,1.12
5505987,36,5/27/18,1.06,1.12,1.12,1.12
5505987,36,5/28/18,1.12,1.12,1.12,1.12
5505987,36,5/30/18,1.12,1.12,1.12,1.12
5505987,36,5/30/18,1.12,1.12,1.12,1.12
5505987,36,6/1/18,1.12,1.12,1.12,1.12
5505987,36,6/2/18,1.12,1.12,1.12,1.12
5505987,36,6/2/18,1.12,1.12,1.12,1.12
5505987,36,6/2/18,1.12,1.12,1.12,1.12
5505987,36,6/3/18,1.12,1.12,1.12,1.12
5505987,36,6/5/18,1.06,1.12,1.12,1.12
5505987,36,6/6/18,1.12,1.12,1.12,1.12
5505987,36,6/6/18,1.06,1.12,1.12,1.12
5505987,36,6/6/18,1.06,1.12,1.12,1.12
5505987,36,6/6/18,1.12,1.12,1.12,1.12
5505987,36,6/6/18,1.06,1.12,1.12,1.12
5505987,36,6/7/18,1.06,1.12,1.12,1.12
5505987,36,6/8/18,1.06,1.12,1.12,1.12
5505987,36,6/11/18,1.12,1.12,1.12,1.12
5505987,36,6/11/18,1.12,1.12,1.12,1.12
5505987,36,6/11/18,1.12,1.12,1.12,1.12
5505987,36,6/12/18,1.12,1.12,1.12,1.12
5505987,38,5/19/18,1.19,1.19,1.19,1.19
5505987,38,5/22/18,1.19,1.19,1.19,1.19
5505987,38,6/1/18,1.19,1.19,1.19,1.19
5505987,38,6/1/18,1.19,1.19,1.19,1.19
5505987,38,6/1/18,1.19,1.19,1.19,1.19
5505987,38,6/3/18,1.19,1.19,1.19,1.19
5505987,38,6/3/18,1.19,1.19,1.19,1.19
5505987,38,6/3/18,1.19,1.19,1.19,1.19
5505987,38,6/5/18,1.19,1.19,1.19,1.19
5505987,38,6/7/18,1.13,1.19,1.19,1.19
5505987,38,6/11/18,1.19,1.19,1.19,1.19
5505987,38,6/11/18,1.19,1.19,1.19,1.19
5505987,41,5/16/18,1.06,1.12,1.12,1.12
5505987,41,5/18/18,1.06,1.12,1.12,1.12
5505987,41,5/18/18,1.12,1.12,1.12,1.12
5505987,41,5/22/18,1.12,1.12,1.12,1.12
5505987,41,5/23/18,1.12,1.12,1.12,1.12
5505987,41,5/30/18,1.12,1.12,1.12,1.12
5505987,41,6/3/18,1.12,1.12,1.12,1.12
5505987,41,6/6/18,1.06,0,0,1.12
5505987,41,6/7/18,1.12,1.12,1.12,1.12
5505987,41,6/7/18,1.12,1.12,1.12,1.12
5505987,42,5/11/18,1.06,1.12,1.12,1.12
5505987,42,5/16/18,1.12,1.12,1.12,1.12
5505987,42,5/17/18,1.12,1.12,1.12,1.12
5505987,42,5/18/18,1.12,1.12,1.12,1.12
5505987,42,5/18/18,1.12,1.12,1.12,1.12
5505987,42,5/21/18,1.06,1.12,1.12,1.12
5505987,42,5/24/18,1.12,1.12,1.12,1.12
5505987,42,5/27/18,1.06,1.12,1.12,1.12
5505987,42,5/27/18,1.06,1.12,1.12,1.12
5505987,42,5/28/18,1.06,1.12,1.12,1.12
5505987,42,5/28/18,1.06,1.12,1.12,1.12
5505987,42,5/28/18,1.12,1.12,1.12,1.12
5505987,42,5/31/18,1.12,1.12,1.12,1.12
5505987,42,6/1/18,1.12,1.12,1.12,1.12
5505987,42,6/1/18,0.97,1.12,1.12,1.12
5505987,42,6/6/18,1.06,1.12,1.12,1.12
5505987,42,6/8/18,1.12,1.12,1.12,1.12
5505987,42,6/8/18,1.06,1.12,1.12,1.12
5505987,42,6/8/18,1.12,1.12,1.12,1.12
5505987,42,6/8/18,1.12,1.12,1.12,1.12
5505987,46,5/10/18,1.12,1.12,1.12,1.12
5505987,46,5/12/18,1.06,1.12,1.12,1.12
5505987,46,5/13/18,1.06,1.12,1.12,1.12
5505987,46,5/13/18,1.06,1.12,1.12,1.12
5505987,46,5/14/18,1.06,1.12,1.12,1.12
5505987,46,5/18/18,1.06,1.12,1.12,1.12
5505987,46,5/20/18,1.06,1.12,1.12,1.12
5505987,46,5/21/18,1.12,1.12,1.12,1.12
5505987,46,5/21/18,1.12,1.12,1.12,1.12
5505987,46,5/24/18,1.12,1.12,1.12,1.12
5505987,46,5/31/18,1.07,1.12,1.12,1.12
5505987,46,5/31/18,1.07,1.12,1.12,1.12
5505987,46,6/3/18,1.12,1.12,1.12,1.12
5505987,46,6/3/18,1.12,1.12,1.12,1.12
5505987,46,6/4/18,1.12,1.12,1.12,1.12
5505987,46,6/5/18,1.12,1.12,1.12,1.12
5505987,46,6/5/18,1.12,1.12,1.12,1.12
5505987,46,6/7/18,1.12,1.12,1.12,1.12
5505987,46,6/9/18,1.06,1.12,1.12,1.12
5505987,46,6/9/18,1.06,1.12,1.12,1.12
5505987,46,6/10/18,1.06,1.12,1.12,1.12
5505987,47,5/16/18,1.12,1.12,1.12,1.12
5505987,47,5/19/18,1.12,1.12,1.12,1.12
5505987,47,5/26/18,1.12,1.12,1.12,1.12
5505987,47,5/31/18,1.12,1.12,1.12,1.12
5505987,47,5/31/18,1.12,1.12,1.12,1.12
5505987,47,6/3/18,1.12,1.12,1.12,1.12
5505987,47,6/3/18,1.12,1.12,1.12,1.12
5505987,47,6/6/18,1.12,1.12,1.12,1.12
5505987,50,5/10/18,1.14,1.14,1.14,1.14
5505987,50,5/28/18,1.14,1.14,1.14,1.14
5505987,50,6/3/18,1.08,1.14,1.14,1.14
5505987,50,6/4/18,1.08,1.14,1.14,1.14
5505987,52,5/11/18,1.16,1.22,1.22,1.22
5505987,52,5/15/18,1.22,1.22,1.22,1.22
5505987,52,5/25/18,1.16,1.22,1.22,1.22
5505987,52,5/27/18,1.22,1.22,1.22,1.22
5505987,52,5/31/18,1.22,1.22,1.22,1.22
5505987,52,5/31/18,1.16,1.22,1.22,1.22
5505987,53,5/10/18,1.12,1.12,1.12,1.12
5505987,53,5/10/18,1.12,1.12,1.12,1.12
5505987,53,5/16/18,1.12,1.12,1.12,1.12
5505987,53,5/16/18,1.06,1.12,1.12,1.12
5505987,53,5/19/18,1.12,1.12,1.12,1.12
5505987,53,5/19/18,-1.12,1.12,1.12,1.12
5505987,53,5/19/18,1.12,1.12,1.12,1.12
5505987,53,5/19/18,1.12,1.12,1.12,1.12
5505987,53,5/20/18,1.12,1.12,1.12,1.12
5505987,53,5/24/18,1.12,1.12,1.12,1.12
5505987,53,5/26/18,0.96,1.12,1.12,1.12
5505987,53,5/26/18,0.96,1.12,1.12,1.12
5505987,53,6/2/18,1.12,1.12,1.12,1.12
5505987,53,6/2/18,1.12,1.12,1.12,1.12
5505987,53,6/4/18,1.12,1.12,1.12,1.12
5505987,53,6/4/18,1.12,1.12,1.12,1.12
5505987,53,6/5/18,1.12,1.12,1.12,1.12
5505987,53,6/8/18,1.12,1.12,1.12,1.12
5505987,54,5/12/18,1.07,1.07,1.07,1.07
5505987,54,5/12/18,1.07,1.07,1.07,1.07
5505987,54,5/12/18,1.07,1.07,1.07,1.07
5505987,54,5/13/18,1.07,1.07,1.07,1.07
5505987,54,5/13/18,1.07,1.07,1.07,1.07
5505987,54,5/14/18,1.07,1.07,1.07,1.07
5505987,54,5/15/18,1.07,1.07,1.07,1.07
5505987,54,5/18/18,1.07,1.07,1.07,1.07
5505987,54,5/23/18,1.07,1.07,1.07,1.07
5505987,54,5/24/18,1.07,1.07,1.07,1.07
5505987,54,5/25/18,1.07,1.07,1.07,1.07
5505987,54,5/25/18,1.07,1.07,1.07,1.07
5505987,54,5/25/18,1.07,1.07,1.07,1.07
5505987,54,5/27/18,1.02,1.07,1.07,1.07
5505987,54,5/28/18,1.07,1.07,1.07,1.07
5505987,54,5/31/18,1.07,1.07,1.07,1.07
5505987,54,5/31/18,1.07,1.07,1.07,1.07
5505987,54,6/3/18,1.07,1.07,1.07,1.07
5505987,54,6/7/18,-1.06,1.07,1.07,1.07
5505987,54,6/8/18,1.07,1.07,1.07,1.07
5505987,54,6/9/18,1.07,1.07,1.07,1.07
5505987,56,5/12/18,1.19,1.19,1.19,1.19
5505987,56,5/14/18,1.19,1.19,1.19,1.19
5505987,56,5/15/18,1.13,1.19,1.19,1.19
